To answer this question, we need to understand the fundamental characteristics of light emitted by these two sources:

### Analysis of the Options
1.  **Spectrum:** 
    *   **Incandescent light** is produced by thermal radiation (blackbody radiation). This process emits a broad range of wavelengths across the visible spectrum (and beyond), meaning it has a **wide spectrum**.
    *   **Laser light** is produced via stimulated emission, which results in a highly monochromatic beam, meaning it has a **very narrow spectrum**.
    *   *Conclusion:* Options A and B are incorrect.

2.  **Coherence:** 
    *   **Coherence** refers to a constant phase relationship between waves. 
    *   **Laser light** is highly **coherent** because the photons are emitted in phase and in the same direction.
    *   **Incandescent light** is **incoherent** because the photons are emitted randomly from many different atoms at different times and in different directions, leading to a superposition of many waves with random phase relationships.

3.  **Evaluating Option D:**
    *   Option D states: "Laser light is coherent; incandescent light is incoherent." This aligns perfectly with the physics definitions of these light sources.

### How to solve this question:
*   **Step 1:** Recall the definition of laser light: Light Amplification by Stimulated Emission of Radiation. The key properties of laser light are that it is **monochromatic** (narrow spectrum) and **coherent** (constant phase relationship).
*   **Step 2:** Recall the nature of incandescent light: Light produced by heating a filament. This is a thermal process that releases a continuous, **broad spectrum** of light that is spatially and temporally **incoherent**.
*   **Step 3:** Compare these definitions against the provided choices and identify the match.

**Correct Answer:** **D**

###QUESTION_TYPE
Multiple choice
