The correct answer is **(A)**.

### Explanation

To solve this, we must recognize the experimental setup shown in the image. This is the **Geiger-Marsden experiment** (commonly referred to as the **Rutherford Gold Foil Experiment**).

1.  **Identify the equipment:**
    *   **Po source (Polonium):** Acts as a source of alpha ($\alpha$) particles.
    *   **Thin gold foil:** The target material through which the alpha particles are fired.
    *   **Zinc sulfide screen:** A fluorescent screen that flashes when hit by an alpha particle, allowing researchers to observe the scattering angles of the particles.

2.  **Analyze the historical context:**
    *   Before this experiment, the "Plum Pudding" model of the atom (proposed by J.J. Thomson) suggested that positive charge was spread evenly throughout the atom.
    *   If the Plum Pudding model were correct, alpha particles should have passed through the gold foil with only minor deflections.
    *   Instead, Ernest Rutherford's team observed that while most alpha particles passed straight through, a small percentage were deflected at large angles, and some were even reflected back toward the source.

3.  **Determine the conclusion:**
    *   The observation that some alpha particles were repelled back indicated that they were colliding with a dense, positively charged center. 
    *   This led to the rejection of the Plum Pudding model and the formulation of the **nuclear model of the atom**, where the mass and positive charge are concentrated in a tiny, central **nucleus**.

**Why the other options are incorrect:**
*   **(B)** The neutron was discovered by James Chadwick using a different experiment involving the bombardment of beryllium with alpha particles.
*   **(C)** Cathode rays were investigated by J.J. Thomson using vacuum discharge tubes, not alpha-particle scattering.
*   **(D)** The conclusion that electrons are part of every atom also resulted from J.J. Thomson's work with cathode ray tubes.

###QUESTION_TYPE
Multiple choice
